,telephone1,storeName,uniqueID,country,city,addressLine,stateOrProvinceName,distance,postalCode,longitude,fax1,latitude,Centro de distribucion,Horario,Servicios Fotográficos,Zona,Recoger en Superfarmacia,Entrega a domicilio,Consultorio Médico,Ubicacion,thumbnail,displayStoreName
968,5553050128,SU1167,715840145,México,C-Atizapán de Zaragoza,"['Blvd. Lomas de la Hacienda #127', 'Lomas de la Hacienda']",S-Estado de México,4.041204518,52925,-99.23292,5553050258,19.58647,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 15013,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxAtiHacienda.jpg,LOMAS DE LA HACIENDA
969,5558939275,SU408,715839386,México,C-Cuautitlán Izcalli,"['Bosques de Bolognia #247', 'Bosques del Lago']",S-Estado de México,4.362612886,54766,-99.24133,5558939298,19.6129,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 918,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCuaBosquesLag.jpg,BOSQUES DEL LAGO
970,5558615391,SU1100,715840078,México,C-Cuautitlán Izcalli,"['Av. Hidalgo #28 LOC.7AL 11', 'Granjas Lomas de Guadalupe']",S-Estado de México,3.70356972,54767,-99.23372,5558615746,19.62559,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 918,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCuaSpazzio.jpg,PLAZA SPAZZIO
971,5558712887,SU1452,715840430,México,C-Cuautitlán Izcalli,"['Av. 1 de Mayo #S/N', 'Fidel Velázquez']",S-Estado de México,4.70892161,54700,-99.20551,5511131159,19.62979,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 918,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCua1deMayo.jpg,1 DE MAYO
972,5553103287,SU1069,715840047,México,C-Tlalnepantla,"['Vía Gustavo Baz #22 L.1,2Y3', 'Tequesquinahuac']",S-Estado de México,2.780039389,54020,-99.20317,5553103371,19.5605,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 833,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTlaTequesquin.jpg,TEQUESQUINAHUAC
973,5558316658,SU1341,715840319,México,C-Tultitlán,"['Vía José López Portillo #86 LOCAL C-2', 'San Francisco Chilpan']",S-Estado de México,1.739453761,54944,-99.15511,5558316833,19.62422,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 934,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTultLopezPort.jpg,LÓPEZ PORTILLO
974,5558670111,SU1308,715840286,México,C-Tultitlán,"['Av. Vía José López Portillo #421 A', 'Lázaro Cárdenas']",S-Estado de México,1.740756342,54919,-99.15512,5558674793,19.62423,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 934,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTultHornos.jpg,HORNOS
975,5525933394,SU1235,715840213,México,C-Tultitlán,"['R. B. de Cipreses #2 ""A""', 'Real del Bosque']",S-Estado de México,2.377070778,54900,-99.15815,5525933069,19.62941,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 934,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTultRealBosqu.jpg,REAL DEL BOSQUE
976,5558674451,SU560,715839538,México,C-Tultitlán,"['Fuentes de Cervantes #117', 'Fuentes del Valle 2A Sección']",S-Estado de México,2.991692274,54900,-99.14131,5558674457,19.63398,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 934,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTultFuentes.jpg,FUENTES DEL VALLE TULTITLÁN
977,5558889489,SU1292,715840270,México,C-Tultitlán,"['Isidro Fabela #3', 'Centro']",S-Estado de México,4.711645616,54900,-99.16911,5558889486,19.648,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 934,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTultCentro.jpg,CENTRO
978,7121248107,SU1495,715840473,México,C-Atlacomulco,"['Av. José Ma. Morelos y Pavón #2', 'Centro']",S-Estado de México,3.027978093,50450,-99.87286,7121225184,19.79981,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 15014,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxAtlaJoseMorel.jpg,JOSÉ MA. MORELOS
979,5929222216,SU2039,715841989,México,C-Otumba,"['Av. Eugenio María Montano #21', 'Centro']",S-Estado de México,3.145429426,55900,-98.76037,5929223682,19.7004,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 15065,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxOtumCentro.jpg,OTUMBA CENTRO
980,7171744221,SU413,715839391,México,C-Tenango del valle,"['Miguel Hidalgo #111', 'Centro']",S-Estado de México,4.810431623,52300,-99.5904,7171744189,19.10347,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 2316,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTenMiguelHgo.jpg,TENANGO DEL VALLE
